dwelling_type,marry_status,number_of_children,family_income
0,"Single, never married",No child,"$25,000 to $49,999"
1,Married,No child,"$75,000 to $99,999"
1,Married,No child,"$75,000 to $99,999"
0,Married,No child,"$100,000 to $ 124,999"
0,Living common-law,No child,"$50,000 to $74,999"
1,Married,No child,"$50,000 to $74,999"
0,"Single, never married",No child,"Less than $25,000"
0,Divorced,No child,"Less than $25,000"
0,"Single, never married",No child,"Less than $25,000"
1,"Single, never married",No child,"Less than $25,000"
1,"Single, never married",Two children,"Less than $25,000"
1,"Single, never married",No child,"$25,000 to $49,999"
1,Married,No child,"$75,000 to $99,999"
1,Living common-law,Two children,"$75,000 to $99,999"
1,Living common-law,No child,"$25,000 to $49,999"
0,"Single, never married",No child,"$25,000 to $49,999"
1,Married,No child,"$125,000 and more"
0,"Single, never married",No child,"$75,000 to $99,999"
0,Married,No child,"$75,000 to $99,999"
1,Living common-law,Three or more children,"$125,000 and more"
0,Married,No child,"$125,000 and more"
1,"Single, never married",No child,"$25,000 to $49,999"
0,"Single, never married",No child,"$75,000 to $99,999"
1,"Single, never married",No child,"$125,000 and more"
0,Divorced,No child,"$25,000 to $49,999"
0,"Single, never married",No child,"$75,000 to $99,999"
0,"Single, never married",No child,"$100,000 to $ 124,999"
1,"Single, never married",No child,"$125,000 and more"
0,Separated,One child,"$25,000 to $49,999"
1,Living common-law,No child,"$50,000 to $74,999"
1,Living common-law,Two children,"$125,000 and more"
0,Widowed,No child,"$25,000 to $49,999"
0,"Single, never married",No child,"Less than $25,000"
0,Widowed,No child,"$25,000 to $49,999"
1,Separated,No child,"$50,000 to $74,999"
1,Married,No child,"$25,000 to $49,999"
0,"Single, never married",No child,"$75,000 to $99,999"
0,"Single, never married",No child,"$50,000 to $74,999"
0,"Single, never married",One child,"$125,000 and more"
1,Living common-law,No child,"$75,000 to $99,999"
1,Married,No child,"$25,000 to $49,999"
1,Living common-law,One child,"$100,000 to $ 124,999"
0,"Single, never married",One child,"$25,000 to $49,999"
1,Married,Two children,"$100,000 to $ 124,999"
1,Living common-law,No child,"$50,000 to $74,999"
1,Married,No child,"$125,000 and more"
1,"Single, never married",One child,"$50,000 to $74,999"
0,Living common-law,Two children,"$100,000 to $ 124,999"
0,Widowed,No child,"$25,000 to $49,999"
0,Separated,No child,"Less than $25,000"
0,Living common-law,One child,"$75,000 to $99,999"
0,Living common-law,No child,"Less than $25,000"
0,Separated,No child,"$50,000 to $74,999"
1,Married,No child,"$125,000 and more"
1,Separated,Two children,"$100,000 to $ 124,999"
1,Separated,Two children,"$75,000 to $99,999"
1,Living common-law,No child,"$100,000 to $ 124,999"
1,Married,No child,"$75,000 to $99,999"
0,Living common-law,No child,"$75,000 to $99,999"
1,"Single, never married",No child,"$75,000 to $99,999"
1,Living common-law,No child,"$100,000 to $ 124,999"
0,"Single, never married",No child,"Less than $25,000"
1,Separated,No child,"$25,000 to $49,999"
1,Married,Three or more children,"$125,000 and more"
0,Married,No child,"$25,000 to $49,999"
0,Widowed,No child,"$25,000 to $49,999"
1,Living common-law,No child,"$125,000 and more"
1,Widowed,No child,"$50,000 to $74,999"
1,Married,One child,"$75,000 to $99,999"
1,"Single, never married",No child,"Less than $25,000"
1,Married,No child,"$75,000 to $99,999"
1,Living common-law,One child,"$100,000 to $ 124,999"
0,Divorced,No child,"$25,000 to $49,999"
1,"Single, never married",Two children,"Less than $25,000"
1,Married,No child,"Less than $25,000"
1,Married,Two children,"$125,000 and more"
0,"Single, never married",No child,"$125,000 and more"
1,Living common-law,One child,"$75,000 to $99,999"
1,Married,No child,"$125,000 and more"
1,"Single, never married",One child,"$25,000 to $49,999"
1,"Single, never married",Two children,"$75,000 to $99,999"
0,Separated,No child,"$75,000 to $99,999"
1,Living common-law,No child,"Less than $25,000"
0,"Single, never married",No child,"$100,000 to $ 124,999"
0,"Single, never married",No child,"$100,000 to $ 124,999"
